asset_Type,data_source,code,agg_algo,settle_type,real_time_take_over,price_type,data_type,curve_name,curve_id,period,ohlc_begin,ohlc_end,open_px,high_px,low_px,close_px,open_yield,open_yield,open_yield,open_yield,ctd_Bond,volume,trade_times,total_volume,open_time,close_time,high_time,low_time
BOND,XBOND,210215,,T0,,MID,PRICE,,,ONE_MINUTE,"	2024-07-03 09:16:00	","	2024-07-03 09:17:00	",100.000100000000,100.000100000000,100.000100000000,100.000100000000,3.118800000000,3.118800000000,3.118800000000,3.118800000000,,0.0000,,,,,,
BOND,XBOND,210215,,T0,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-03 09:16:00	","	2024-07-03 09:17:00	",,,,,,,,,,0.0000,,,,,,
BOND,XBOND,210215,,T0,,BID,PRICE,,,ONE_MINUTE,"	2024-07-03 09:16:00	","	2024-07-03 09:17:00	",100.000100000000,100.000100000000,100.000100000000,100.000100000000,3.118800000000,3.118800000000,3.118800000000,3.118800000000,,0.0000,,,,,,
BOND,XBOND,180210,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-03 09:21:00	","	2024-07-03 09:22:00	",100.144900000000,100.144900000000,100.144900000000,100.144900000000,4.000000000000,4.000000000000,4.000000000000,4.000000000000,,0.0000,,,,,,
BOND,XBOND,180210,,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-03 09:21:00	","	2024-07-03 09:22:00	",103.870400000000,103.870400000000,103.870400000000,103.870400000000,3.000000000000,3.000000000000,3.000000000000,3.000000000000,,0.0000,,,,,,
BOND,XBOND,180210,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-03 09:21:00	","	2024-07-03 09:22:00	",100.144900000000,102.007700000000,100.144900000000,102.007700000000,4.000000000000,4.000000000000,3.500000000000,3.500000000000,,0.0000,,,,,,
BOND,XBOND,220210,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-03 09:30:00	","	2024-07-03 09:31:00	",107.072100000000,107.072100000000,107.072100000000,107.072100000000,2.000000000000,2.000000000000,2.000000000000,2.000000000000,,0.0000,,,,,,
BOND,XBOND,220210,,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-03 09:30:00	","	2024-07-03 09:31:00	",,,,,,,,,,0.0000,,,,,,
BOND,XBOND,220210,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-03 09:30:00	","	2024-07-03 09:31:00	",107.072100000000,107.072100000000,107.072100000000,107.072100000000,2.000000000000,2.000000000000,2.000000000000,2.000000000000,,0.0000,,,,,,
BOND,XBOND,220210,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-03 09:31:00	","	2024-07-03 09:32:00	",107.447900000000,107.447900000000,107.447900000000,107.447900000000,1.950000000000,1.950000000000,1.950000000000,1.950000000000,,0.0000,,,,,,
BOND,XBOND,220210,,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-03 09:31:00	","	2024-07-03 09:32:00	",107.823700000000,107.823700000000,107.823700000000,107.823700000000,1.900000000000,1.900000000000,1.900000000000,1.900000000000,,0.0000,,,,,,
BOND,XBOND,220210,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-03 09:31:00	","	2024-07-03 09:32:00	",107.072100000000,107.072100000000,107.072100000000,107.072100000000,2.000000000000,2.000000000000,2.000000000000,2.000000000000,,0.0000,,,,,,
BOND,XBOND,180210,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-03 09:33:00	","	2024-07-03 09:34:00	",100.144900000000,100.144900000000,100.144900000000,100.144900000000,4.000000000000,4.000000000000,4.000000000000,4.000000000000,,0.0000,,,,,,
BOND,XBOND,180210,,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-03 09:33:00	","	2024-07-03 09:34:00	",103.870400000000,103.870400000000,103.870400000000,103.870400000000,3.000000000000,3.000000000000,3.000000000000,3.000000000000,,0.0000,,,,,,
BOND,XBOND,180210,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-03 09:33:00	","	2024-07-03 09:34:00	",100.144900000000,100.144900000000,100.144900000000,100.144900000000,4.000000000000,4.000000000000,4.000000000000,4.000000000000,,0.0000,,,,,,
