asset_Type,data_source,code,agg_algo,settle_type,real_time_take_over,price_type,data_type,curve_name,curve_id,period,ohlc_begin,ohlc_end,open_px,high_px,low_px,close_px,open_yield,high_yield,low_yield,close_yield,ctd_Bond,volume,trade_times,total_volume,open_time,close_time,high_time,low_time
BOND,XBOND,"""210215""",,T0,,BID,PRICE,,,ONE_MINUTE,"	2024-07-17 09:57:00	","	2024-07-17 09:58:00	",100.000100000000,100.000100000000,100.000100000000,100.000100000000,3.119000000000,3.119000000000,3.119000000000,3.119000000000,,0.0000,,,,,,
BOND,XBOND,"""190210""",,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-17 09:57:00	","	2024-07-17 09:58:00	",107.560200000000,107.560200000000,107.560200000000,107.560200000000,2.010000000000,2.010000000000,2.010000000000,2.010000000000,,0.0000,,,,,,
BOND,XBOND,"""210215""",,T0,,MID,PRICE,,,ONE_MINUTE,"	2024-07-17 09:57:00	","	2024-07-17 09:58:00	",100.000100000000,100.000100000000,100.000100000000,100.000100000000,3.119000000000,3.119000000000,3.119000000000,3.119000000000,,0.0000,,,,,,
BOND,XBOND,"""190210""",,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-17 09:57:00	","	2024-07-17 09:58:00	",,,,,,,,,,0.0000,,,,,,
BOND,XBOND,"""190210""",,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-17 09:57:00	","	2024-07-17 09:58:00	",107.560200000000,107.560200000000,107.560200000000,107.560200000000,2.010000000000,2.010000000000,2.010000000000,2.010000000000,,0.0000,,,,,,
BOND,XBOND,"""210215""",,T0,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-17 09:57:00	","	2024-07-17 09:58:00	",,,,,,,,,,0.0000,,,,,,
BOND,XBOND,"""220210""",,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-17 09:57:00	","	2024-07-17 09:58:00	",103.841700000000,103.841700000000,103.841700000000,103.841700000000,2.436200000000,2.436200000000,2.436200000000,2.436200000000,,0.0000,,,,,,
BOND,XBOND,"""210215""",,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-17 09:57:00	","	2024-07-17 09:58:00	",103.350500000000,103.350500000000,103.350500000000,103.350500000000,2.600000000000,2.600000000000,2.600000000000,2.600000000000,,0.0000,,,,,,
BOND,XBOND,"""210210""",,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-17 09:57:00	","	2024-07-17 09:58:00	",103.000000000000,103.000000000000,103.000000000000,103.000000000000,2.922000000000,2.922000000000,2.922000000000,2.922000000000,,0.0000,,,,,,
BOND,XBOND,"""210210""",,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-17 09:57:00	","	2024-07-17 09:58:00	",103.000000000000,103.000000000000,103.000000000000,103.000000000000,2.922000000000,2.922000000000,2.922000000000,2.922000000000,,0.0000,,,,,,
BOND,XBOND,"""210215""",,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-17 09:57:00	","	2024-07-17 09:58:00	",100.756500000000,100.756500000000,100.756500000000,100.756500000000,3.000000000000,3.000000000000,3.000000000000,3.000000000000,,0.0000,,,,,,
BOND,XBOND,"""140025""",,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-17 09:57:00	","	2024-07-17 09:58:00	",111.541900000000,111.541900000000,111.541900000000,111.541900000000,3.500000000000,3.500000000000,3.500000000000,3.500000000000,,0.0000,,,,,,
BOND,XBOND,"""220210""",,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-17 09:57:00	","	2024-07-17 09:58:00	",103.920900000000,103.920900000000,103.920900000000,103.920900000000,2.425300000000,2.425300000000,2.425300000000,2.425300000000,,0.0000,,,,,,
BOND,XBOND,"""140025""",,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-17 09:57:00	","	2024-07-17 09:58:00	",118.197500000000,118.197500000000,118.197500000000,118.197500000000,3.100000000000,3.100000000000,3.100000000000,3.100000000000,,0.0000,,,,,,
BOND,XBOND,"""210215""",,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-17 09:57:00	","	2024-07-17 09:58:00	",102.053500000000,102.053500000000,102.053500000000,102.053500000000,2.800000000000,2.800000000000,2.800000000000,2.800000000000,,0.0000,,,,,,
BOND,XBOND,"""210210""",,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-17 09:57:00	","	2024-07-17 09:58:00	",,,,,,,,,,0.0000,,,,,,
BOND,XBOND,"""180210""",,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-17 09:57:00	","	2024-07-17 09:58:00	",106.641700000000,106.641700000000,106.641700000000,106.641700000000,2.270000000000,2.270000000000,2.270000000000,2.270000000000,,0.0000,,,,,,
BOND,XBOND,"""140025""",,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-17 09:57:00	","	2024-07-17 09:58:00	",124.853000000000,124.853000000000,124.853000000000,124.853000000000,2.700000000000,2.700000000000,2.700000000000,2.700000000000,,0.0000,,,,,,
