code,ask_size1,ask_size2,ask_size3,ask_size4,ask_size5,ask_price1,ask_price2,ask_price3,ask_price4,ask_price5,ask_yield1,ask_yield2,ask_yield3,ask_yield4,ask_yield5,bid_size1,bid_size2,bid_size3,bid_size4,bid_size5,bid_price1,bid_price2,bid_price3,bid_price4,bid_price5,bid_yield1,bid_yield2,bid_yield3,bid_yield4,bid_yield5,clearMethod,deliveryType,dataSource,settle_type,recv_time,source_time,is_inversion,is_unilateral,is_vacuum,is_spike
220205,60000000,,,,,100.0,,,,,2.9983,,,,,80000000,,,,,98.0,,,,,3.3035,,,,,,,XBOND,T1,"	2024-07-16 20:00:01	","	2024-07-16 20:00:01	",0,0,0,0
220205,60000000,40000000,,,,100.0,105.3212,,,,2.9983,2.221,,,,80000000,,,,,98.0,,,,,3.3035,,,,,,,XBOND,T1,"	2024-07-16 19:58:39	","	2024-07-16 19:58:39	",0,0,0,0
170010,10000000,,,,,102.1441,,,,,2.7182,,,,,10000000,,,,,101.2553,,,,,3.0475,,,,,,,XBOND,T1,"	2024-07-16 19:56:29	","	2024-07-16 19:56:29	",0,0,0,0
180011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XBOND,T1,"	2024-07-16 19:56:28	","	2024-07-16 19:56:28	",0,0,1,0
180210,,,,,,,,,,,,,,,,50000000,,,,,101.783,,,,,3.55,,,,,,,XBOND,T1,"	2024-07-16 19:52:41	","	2024-07-16 19:52:41	",0,1,0,0
180210,,,,,,,,,,,,,,,,20000000,50000000,,,,103.3415,101.783,,,,3.1313,3.55,,,,,,XBOND,T1,"	2024-07-16 19:51:10	","	2024-07-16 19:51:10	",0,1,0,0
180210,,,,,,,,,,,,,,,,50000000,,,,,101.783,,,,,3.55,,,,,,,XBOND,T1,"	2024-07-16 19:50:45	","	2024-07-16 19:50:45	",0,1,0,0
180210,,,,,,,,,,,,,,,,20000000,50000000,,,,103.3415,101.783,,,,3.1313,3.55,,,,,,XBOND,T1,"	2024-07-16 19:50:43	","	2024-07-16 19:50:43	",0,1,0,0
180210,,,,,,,,,,,,,,,,50000000,,,,,101.783,,,,,3.55,,,,,,,XBOND,T1,"	2024-07-16 19:50:26	","	2024-07-16 19:50:25	",0,1,0,0
180210,,,,,,,,,,,,,,,,20000000,50000000,,,,103.3415,101.783,,,,3.1313,3.55,,,,,,XBOND,T1,"	2024-07-16 19:50:03	","	2024-07-16 19:50:02	",0,1,0,0
180210,,,,,,,,,,,,,,,,50000000,20000000,,,,101.783,101.7782,,,,3.55,3.5513,,,,,,XBOND,T1,"	2024-07-16 19:48:27	","	2024-07-16 19:48:26	",0,1,0,0
