asset_Type,data_source,code,agg_algo,settle_type,real_time_take_over,price_type,data_type,curve_name,curve_id,period,ohlc_begin,ohlc_end,open_px,high_px,low_px,close_px,open_yield,high_yield,low_yield,close_yield,ctd_Bond,volume,trade_times,total_volume,open_time,close_time,high_time,low_time
BOND,XBOND,“210210“,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:02:00	","	2024-07-18 09:03:00	",,,,,,,,,,0,,,,,,
BOND,XBOND,“210210“,,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-18 09:02:00	","	2024-07-18 09:03:00	",,,,,,,,,,0,,,,,,
BOND,XBOND,“210210“,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:02:00	","	2024-07-18 09:03:00	",,,,,,,,,,0,,,,,,
BOND,XBOND,“170010“,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:02:00	","	2024-07-18 09:03:00	",101.0934,101.0934,101.0934,101.0934,3.1071,3.1071,3.1071,3.1071,,0,,,,,,
BOND,XBOND,“170010“,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:02:00	","	2024-07-18 09:03:00	",101.0934,101.0934,101.0934,101.0934,3.1071,3.1071,3.1071,3.1071,,0,,,,,,
BOND,XBOND,“170010“,,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-18 09:02:00	","	2024-07-18 09:03:00	",,,,,,,,,,0,,,,,,
BOND,XBOND,“220220“,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:03:00	","	2024-07-18 09:04:00	",100,100,100,100,2.769,2.769,2.769,2.769,,0,,,,,,
BOND,XBOND,“220220“,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:03:00	","	2024-07-18 09:04:00	",100,100,100,100,2.769,2.769,2.769,2.769,,0,,,,,,
BOND,XBOND,“220220“,,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-18 09:03:00	","	2024-07-18 09:04:00	",,,,,,,,,,0,,,,,,
BOND,XBOND,“170010“,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:04:00	","	2024-07-18 09:05:00	",101.0934,101.0934,101.0934,101.0934,3.1071,3.1071,3.1071,3.1071,,0,,,,,,
BOND,XBOND,“170010“,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:04:00	","	2024-07-18 09:05:00	",101.0934,101.0934,101.0934,101.0934,3.1071,3.1071,3.1071,3.1071,,0,,,,,,
BOND,XBOND,“170010“,,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-18 09:04:00	","	2024-07-18 09:05:00	",,,,,,,,,,0,,,,,,
BOND,XBOND,“220220“,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:05:00	","	2024-07-18 09:06:00	",100,100,100,100,2.769,2.769,2.769,2.769,,0,,,,,,
BOND,XBOND,“220220“,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:05:00	","	2024-07-18 09:06:00	",100,100,100,100,2.769,2.769,2.769,2.769,,0,,,,,,
BOND,XBOND,“220220“,,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-18 09:05:00	","	2024-07-18 09:06:00	",,,,,,,,,,0,,,,,,
BOND,XBOND,“220210“,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:06:00	","	2024-07-18 09:07:00	",103,103,103,103,2.5533,2.5533,2.5533,2.5533,,0,,,,,,
BOND,XBOND,“220210“,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:06:00	","	2024-07-18 09:07:00	",103.5,103.5,103.5,103.5,2.4837,2.4837,2.4837,2.4837,,0,,,,,,
BOND,XBOND,“220210“,,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-18 09:06:00	","	2024-07-18 09:07:00	",104,104,104,104,2.4141,2.4141,2.4141,2.4141,,0,,,,,,
BOND,XBOND,“220210“,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:07:00	","	2024-07-18 09:08:00	",103.1111,103.2222,103.1111,103.2222,2.5378,2.5378,2.5223,2.5223,,0,,,,,,
BOND,XBOND,“220210“,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:07:00	","	2024-07-18 09:08:00	",103.5556,103.6111,103.5556,103.6111,2.476,2.476,2.4682,2.4682,,0,,,,,,
BOND,XBOND,“220210“,,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-18 09:07:00	","	2024-07-18 09:08:00	",104,104,104,104,2.4141,2.4141,2.4141,2.4141,,0,,,,,,
BOND,XBOND,“220210“,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:08:00	","	2024-07-18 09:09:00	",103.5555,103.6666,103.5555,103.6666,2.4758,2.4758,2.4604,2.4604,,0,,,,,,
BOND,XBOND,“220210“,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:08:00	","	2024-07-18 09:09:00	",103.7778,103.8333,103.7778,103.8333,2.445,2.445,2.4373,2.4373,,0,,,,,,
BOND,XBOND,“220210“,,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-18 09:08:00	","	2024-07-18 09:09:00	",104,104,104,104,2.4141,2.4141,2.4141,2.4141,,0,,,,,,
BOND,XBOND,“220220“,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:09:00	","	2024-07-18 09:10:00	",103.4951,103.4951,103.4951,103.4951,2.3,2.3,2.3,2.3,,0,,,,,,
BOND,XBOND,“210215“,,T0,,BID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:09:00	","	2024-07-18 09:10:00	",100.0001,100.0001,100.0001,100.0001,3.119,3.119,3.119,3.119,,0,,,,,,
BOND,XBOND,“210215“,,T0,,MID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:09:00	","	2024-07-18 09:10:00	",100.0001,100.0001,100.0001,100.0001,3.119,3.119,3.119,3.119,,0,,,,,,
BOND,XBOND,“220220“,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:09:00	","	2024-07-18 09:10:00	",103.6857,103.6857,103.6857,103.6857,2.275,2.275,2.275,2.275,,0,,,,,,
BOND,XBOND,“220220“,,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-18 09:09:00	","	2024-07-18 09:10:00	",103.8763,103.8763,103.8763,103.8763,2.25,2.25,2.25,2.25,,0,,,,,,
BOND,XBOND,“210215“,,T0,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-18 09:09:00	","	2024-07-18 09:10:00	",,,,,,,,,,0,,,,,,
BOND,XBOND,“220220“,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:10:00	","	2024-07-18 09:11:00	",,,,,,,,,,,,,,,,
BOND,XBOND,“220220“,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:10:00	","	2024-07-18 09:11:00	",,,,,,,,,,,,,,,,
BOND,XBOND,“220220“,,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-18 09:10:00	","	2024-07-18 09:11:00	",,,,,,,,,,,,,,,,
BOND,XBOND,“180210“,,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-18 09:11:00	","	2024-07-18 09:12:00	",105.7658,105.7658,105.7658,105.7658,2.494,2.494,2.494,2.494,,0,,,,,,
BOND,XBOND,“180210“,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:11:00	","	2024-07-18 09:12:00	",105.7252,105.7252,105.7252,105.7252,2.5045,2.5045,2.5045,2.5045,,0,,,,,,
BOND,XBOND,“180210“,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:11:00	","	2024-07-18 09:12:00	",105.6846,105.6846,105.6846,105.6846,2.515,2.515,2.515,2.515,,0,,,,,,
