ask_size1,ask_size2,ask_size3,ask_size4,ask_size5,ask_price1,ask_price2,ask_price3,ask_price4,ask_price5,bid_size1,bid_size2,bid_size3,bid_size4,bid_size5,bid_price1,bid_price2,bid_price3,bid_price4,bid_price5,clearMethod,deliveryType,dataSource,trading_day,settlement_group_id,settlement_id,pre_settlement_price,pre_close_price,pre_open_interest,pre_delta,open_price,highest_price,lowest_price,close_price,upper_limit_price,lower_limit_price,settlement_price,curr_delta,last_price,volume,turnover,open_interest,instrument_id,action_day,his_highest_price,his_lowest_price,latest_volume,init_volume,change_volume,bid_imply_volume,ask_imply_volume,avg_price,arbi_type,instrument_id1,instrument_id2,instrument_name,total_bid_volume,total_ask_volume,source_time,source_from,recv_time
6,1,5,1,1,101.95,101.978,102,102.134,102.136,3,10,4,4,4,101.93,101.88,101.754,101.752,101.75,,,CFFEX,2024/7/4 0:00,SG01,1,101.954,101.954,2518,,101.95,102.016,101.894,101.94,102.462,101.446,101.946,,101.94,,1156148320,2517,TS2412,,0,0,0,0,0,0,0,0,,,,,0,0,	2024-07-04 15:35:56	,CFFEX,	2024-07-04 15:35:53	
2,2,4,5,1,103.945,103.95,104.07,104.27,104.4,6,140,240,10,10,103.895,103.795,103.79,103.77,103.55,,,CFFEX,2024/7/4 0:00,SG01,1,103.96,103.965,3461,,103.93,103.99,103.9,103.92,105.205,102.715,103.915,,103.92,,567491450,3477,TF2412,,0,0,0,0,0,0,0,0,,,,,0,0,	2024-07-04 15:35:56	,CFFEX,	2024-07-04 15:35:53	
1,7,6,7,10,105.27,105.275,105.295,105.365,105.37,1,6,7,14,5,105.265,105.26,105.255,105.25,105.245,,,CFFEX,2024/7/4 0:00,SG01,1,105.34,105.37,25100,,105.32,105.375,104.85,105.27,107.445,103.235,105.28,,105.27,,6731322250,25047,T2409,,0,0,0,0,0,0,0,0,,,,,0,0,	2024-07-04 15:35:56	,CFFEX,	2024-07-04 15:35:53	
7,4,5,7,5,105.18,105.25,105.255,105.305,105.61,11,2,2,3,9,105.15,105.145,105.14,105.13,105.005,,,CFFEX,2024/7/4 0:00,SG01,1,105.24,105.26,8648,,105.24,105.395,105.06,105.155,107.34,103.14,105.175,,105.155,,1552872850,8715,T2412,,0,0,0,0,0,0,0,0,,,,,0,0,	2024-07-04 15:35:56	,CFFEX,	2024-07-04 15:35:53	
4,5,5,1,1,104.02,104.145,104.365,104.47,104.475,1,6,1,2,8,103.99,103.97,103.965,103.96,103.845,,,CFFEX,2024/7/4 0:00,SG01,1,104.025,104.045,8291,,104.01,104.215,103.71,103.995,105.27,102.78,103.985,,103.995,,4338931200,8608,TF2409,,0,0,0,0,0,0,0,0,,,,,0,0,	2024-07-04 15:35:56	,CFFEX,	2024-07-04 15:35:53	
4,8,1,1,1,101.972,102.022,102.162,102.164,102.166,54,39,49,41,19,101.962,101.96,101.958,101.956,101.954,,,CFFEX,2024/7/4 0:00,SG01,1,101.98,101.98,5490,,101.978,101.998,101.62,101.962,102.488,101.472,101.96,,101.962,,11892667480,7110,TS2409,,0,0,0,0,0,0,0,0,,,,,0,0,	2024-07-04 15:35:56	,CFFEX,	2024-07-04 15:35:53	
6,1,5,1,1,101.95,101.978,102,102.134,102.136,3,10,4,4,4,101.93,101.88,101.754,101.752,101.75,,,CFFEX,2024/7/4 0:00,SG01,1,101.954,101.954,2518,,101.95,102.016,101.894,101.94,102.462,101.446,,,101.94,,1156148320,2517,TS2412,,0,0,0,0,0,0,0,0,,,,,0,0,	2024-07-04 15:15:00	,CFFEX,	2024-07-04 15:14:57	
1,7,6,7,10,105.27,105.275,105.295,105.365,105.37,1,6,7,14,5,105.265,105.26,105.255,105.25,105.245,,,CFFEX,2024/7/4 0:00,SG01,1,105.34,105.37,25100,,105.32,105.375,104.85,105.27,107.445,103.235,,,105.27,,6731322250,25047,T2409,,0,0,0,0,0,0,0,0,,,,,0,0,	2024-07-04 15:15:00	,CFFEX,	2024-07-04 15:14:57	
2,2,4,5,1,103.945,103.95,104.07,104.27,104.4,6,140,240,10,10,103.895,103.795,103.79,103.77,103.55,,,CFFEX,2024/7/4 0:00,SG01,1,103.96,103.965,3461,,103.93,103.99,103.9,103.92,105.205,102.715,,,103.92,,567491450,3477,TF2412,,0,0,0,0,0,0,0,0,,,,,0,0,	2024-07-04 15:15:00	,CFFEX,	2024-07-04 15:14:57	
4,8,1,1,1,101.972,102.022,102.162,102.164,102.166,54,39,49,41,19,101.962,101.96,101.958,101.956,101.954,,,CFFEX,2024/7/4 0:00,SG01,1,101.98,101.98,5490,,101.978,101.998,101.62,101.962,102.488,101.472,,,101.962,,11892667480,7110,TS2409,,0,0,0,0,0,0,0,0,,,,,0,0,	2024-07-04 15:15:00	,CFFEX,	2024-07-04 15:14:57	
4,5,5,1,1,104.02,104.145,104.365,104.47,104.475,1,6,1,2,8,103.99,103.97,103.965,103.96,103.845,,,CFFEX,2024/7/4 0:00,SG01,1,104.025,104.045,8291,,104.01,104.215,103.71,103.995,105.27,102.78,,,103.995,,4338931200,8608,TF2409,,0,0,0,0,0,0,0,0,,,,,0,0,	2024-07-04 15:15:00	,CFFEX,	2024-07-04 15:14:57	
7,4,5,7,5,105.18,105.25,105.255,105.305,105.61,11,2,2,3,9,105.15,105.145,105.14,105.13,105.005,,,CFFEX,2024/7/4 0:00,SG01,1,105.24,105.26,8648,,105.24,105.395,105.06,105.155,107.34,103.14,,,105.155,,1552872850,8715,T2412,,0,0,0,0,0,0,0,0,,,,,0,0,	2024-07-04 15:15:00	,CFFEX,	2024-07-04 15:14:57	
1,7,11,7,10,105.27,105.275,105.295,105.365,105.37,1,6,7,14,9,105.265,105.26,105.255,105.25,105.245,,,CFFEX,2024/7/4 0:00,SG01,1,105.34,105.37,25100,,105.32,105.375,104.85,,107.445,103.235,,,105.27,0,6730269550,25047,T2409,,0,0,0,0,0,0,0,0,,,,,0,0,	2024-07-04 15:14:59	,CFFEX,	2024-07-04 15:14:56	
1,4,5,11,5,105.18,105.25,105.255,105.305,105.61,11,2,2,8,9,105.15,105.145,105.14,105.13,105.005,,,CFFEX,2024/7/4 0:00,SG01,1,105.24,105.26,8648,,105.24,105.395,105.06,,107.34,103.14,,,105.155,0,1551821300,8714,T2412,,0,0,0,0,0,0,0,0,,,,,0,0,	2024-07-04 15:14:59	,CFFEX,	2024-07-04 15:14:56	
