data_source,code,price_type,data_type,period,ohlc_begin,ohlc_end,create_time,update_time,open_px,high_px,low_px,close_px,volume
YLINK,Ag99.99,MID,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 14:08:00	,	2024-07-15 14:08:59	,	2024-07-15 14:08:59	,	2024-07-15 14:08:59	,2722,2722,2722,2722,
YLINK,mAu(T+D),TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 14:08:00	,	2024-07-15 14:08:59	,	2024-07-15 14:08:59	,	2024-07-15 14:08:59	,160,160,160,160,0
YLINK,Ag(T+D),TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 14:08:00	,	2024-07-15 14:08:59	,	2024-07-15 14:08:59	,	2024-07-15 14:08:59	,2500,2500,2500,2500,0
YLINK,Au(T+N2),TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 14:08:00	,	2024-07-15 14:08:59	,	2024-07-15 14:08:59	,	2024-07-15 14:08:59	,220,220,220,220,0
YLINK,Ag99.99,TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 14:08:00	,	2024-07-15 14:08:59	,	2024-07-15 14:08:59	,	2024-07-15 14:08:59	,2733,2733,2733,2733,0
YLINK,mAu(T+D),OFFER,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 14:08:00	,	2024-07-15 14:08:59	,	2024-07-15 14:08:59	,	2024-07-15 14:08:59	,160,160,160,160,
YLINK,mAu(T+D),MID,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 14:08:00	,	2024-07-15 14:08:59	,	2024-07-15 14:08:59	,	2024-07-15 14:08:59	,160,160,160,160,
YLINK,Au(T+D),TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 14:08:00	,	2024-07-15 14:08:59	,	2024-07-15 14:08:59	,	2024-07-15 14:08:59	,182,182,182,182,0
YLINK,Au99.99,TRADE,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 14:08:00	,	2024-07-15 14:08:59	,	2024-07-15 14:08:59	,	2024-07-15 14:08:59	,120,120,120,120,0
YLINK,Ag99.99,BID,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 14:08:00	,	2024-07-15 14:08:59	,	2024-07-15 14:08:59	,	2024-07-15 14:08:59	,2722,2722,2722,2722,
YLINK,Au(T+D),MID,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 14:08:00	,	2024-07-15 14:08:59	,	2024-07-15 14:08:59	,	2024-07-15 14:08:59	,210,210,210,210,
YLINK,Au(T+D),OFFER,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 14:28:00	,	2024-07-15 14:28:59	,	2024-07-15 14:28:59	,	2024-07-15 14:28:59	,210,210,210,210,
YLINK,Ag99.99,MID,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 15:00:00	,	2024-07-15 15:00:59	,	2024-07-15 15:00:59	,	2024-07-15 15:00:59	,2722,2722,2722,2722,
YLINK,Au(T+D),OFFER,NORMAL_OHLC,ONE_MINUTE,	2024-07-15 13:56:00	,	2024-07-15 13:56:59	,	2024-07-15 13:56:59	,	2024-07-15 13:56:59	,210,210,210,210,
